"store_code","zd_code","zd_name","zd_complete_name","org_code","org_name","org_complete_name","st_name"
"9400","7110",未使用コード,"7110 未使用コード","0071",調整総合,"0071 調整総合",
"9430","7110",未使用コード,"7110 未使用コード","0071",調整総合,"0071 調整総合",
"9444","7110",未使用コード,"7110 未使用コード","0071",調整総合,"0071 調整総合",
"9450","7110",未使用コード,"7110 未使用コード","0071",調整総合,"0071 調整総合",
"9505","7110",未使用コード,"7110 未使用コード","0071",調整総合,"0071 調整総合",
"9510","7110",未使用コード,"7110 未使用コード","0071",調整総合,"0071 調整総合",
"9521","7110",未使用コード,"7110 未使用コード","0071",調整総合,"0071 調整総合",
"9596","7110",未使用コード,"7110 未使用コード","0071",調整総合,"0071 調整総合",
"9599","7110",未使用コード,"7110 未使用コード","0071",調整総合,"0071 調整総合",
"9600","7110",未使用コード,"7110 未使用コード","0071",調整総合,"0071 調整総合",
"9989",,,,,,,
"9997",,,,,,,
"9620","7110",未使用コード,"7110 未使用コード","0071",調整総合,"0071 調整総合",
"9621","7110",未使用コード,"7110 未使用コード","0071",調整総合,"0071 調整総合",
"9629","7110",未使用コード,"7110 未使用コード","0071",調整総合,"0071 調整総合",
"9630","7110",未使用コード,"7110 未使用コード","0071",調整総合,"0071 調整総合",
"9665","7110",未使用コード,"7110 未使用コード","0071",調整総合,"0071 調整総合",
"9666","7110",未使用コード,"7110 未使用コード","0071",調整総合,"0071 調整総合",
"9667","7110",未使用コード,"7110 未使用コード","0071",調整総合,"0071 調整総合",
"9668","7110",未使用コード,"7110 未使用コード","0071",調整総合,"0071 調整総合",
"9669","7110",未使用コード,"7110 未使用コード","0071",調整総合,"0071 調整総合",
"9670","7110",未使用コード,"7110 未使用コード","0071",調整総合,"0071 調整総合",
"9671","7110",未使用コード,"7110 未使用コード","0071",調整総合,"0071 調整総合",
"9672","7110",未使用コード,"7110 未使用コード","0071",調整総合,"0071 調整総合",
"9673","7110",未使用コード,"7110 未使用コード","0071",調整総合,"0071 調整総合",
"9674","7110",未使用コード,"7110 未使用コード","0071",調整総合,"0071 調整総合",
"9675","7110",未使用コード,"7110 未使用コード","0071",調整総合,"0071 調整総合",
"9676","7110",未使用コード,"7110 未使用コード","0071",調整総合,"0071 調整総合",
"9677","7110",未使用コード,"7110 未使用コード","0071",調整総合,"0071 調整総合",
"9678","7110",未使用コード,"7110 未使用コード","0071",調整総合,"0071 調整総合",
"9679","7110",未使用コード,"7110 未使用コード","0071",調整総合,"0071 調整総合",
"9680","7110",未使用コード,"7110 未使用コード","0071",調整総合,"0071 調整総合",
"9681","7110",未使用コード,"7110 未使用コード","0071",調整総合,"0071 調整総合",
